phage_name,genbank_accession,species,basel_collection
Escherichia phage PaulFeyerabend,MZ501097,siphoviridae_dhillonvirus,True
Escherichia phage TheodorHerzl,MZ501107,siphoviridae_dhillonvirus,True
Aeromonas phage SD04,MH230177.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage CAjan,KP064094.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage Greed,KX534337.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage SLUR63,LR025196.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage SLUR75,LR025197.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage SLUR76,LR025195.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage Seurat,KM236243.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage Skure,MK672798.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage slur01,LN881725.1,siphoviridae_queuovirinae_seuratvirus,False
Escherichia phage GottfriedDienst,MZ501071,siphoviridae_queuovirinae_seuratvirus,True
Escherichia phage KurtStettler,MZ501091,siphoviridae_queuovirinae_seuratvirus,True
Escherichia phage SeppeHuegi,MZ501104,siphoviridae_queuovirinae_seuratvirus,True
Escherichia phage VogelGryff,MZ501110,siphoviridae_queuovirinae_seuratvirus,True
Escherichia phage WildeMaa,MZ501112,siphoviridae_queuovirinae_seuratvirus,True
Enterobacteria phage JenK1,KP719134.1,siphoviridae_queuovirinae_sonagvirus,False
Escherichia phage 9g,NC_024146.1,siphoviridae_queuovirinae_sonagvirus,False
Escherichia phage HdK1,MK373794.1,siphoviridae_queuovirinae_sonagvirus,False
Escherichia phage HdSG1,MK373795.1,siphoviridae_queuovirinae_sonagvirus,False
Escherichia phage SP8,MT682705.1,siphoviridae_queuovirinae_sonagvirus,False
Salmonella phage SE1,NC_042025.1,siphoviridae_queuovirinae_sonagvirus,False
Escherichia phage ChristophMerian,MZ501057,siphoviridae_queuovirinae_sonagvirus,True
Escherichia phage FritzHoffmann,MZ501068,siphoviridae_queuovirinae_sonagvirus,True
