Phage (name),GenBank accession,species
Escherichia phage RudolfGeigy,MZ501102,myoviridae_vequintavirinae_and_relatives
Escherichia phage JohannBauhin,MZ501083,myoviridae_vequintavirinae_and_relatives
Escherichia phage MaxBurger,MZ501093,myoviridae_vequintavirinae_and_relatives
Escherichia phage JeffSchatz,MZ501082,myoviridae_vequintavirinae_and_relatives
Escherichia phage AlexBoehm,MZ501048,myoviridae_vequintavirinae_and_relatives
Escherichia phage MaxTheCat,MZ501094,myoviridae_vequintavirinae_and_relatives
Escherichia phage HeinrichReichert,MZ501073,myoviridae_vequintavirinae_and_relatives
Escherichia phage EduardKellenberger,MZ501061,myoviridae_vequintavirinae_and_relatives
Escherichia phage PaulScherrer,MZ501100,myoviridae_vequintavirinae_and_relatives
Escherichia phage EmilieFrey,MZ501063,myoviridae_vequintavirinae_and_relatives
Escherichia phage JohannJBalmer,MZ501084,myoviridae_vequintavirinae_and_relatives
Enterobacteria phage FV3,JQ031132.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage APCEc02,KR698074.1,myoviridae_vequintavirinae_and_relatives
Enterobacteria phage ECGD1,KU522583.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage ESCO5,KX664695.2,myoviridae_vequintavirinae_and_relatives
Escherichia phage slur12,LN881735.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage PDX,MG963916.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage ukendt,MN850565.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage inny,MN850601.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage outra,MN850645.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage LL12,MH491969.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage Pr121LW,MH752840.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage HdK5,MK373780.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage Schickermooser,MK373788.1,myoviridae_vequintavirinae_and_relatives
Shigella phage CM1,MK962749.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage muut,MN850573.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage rv5,NC_011041.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage phAPEC8,NC_020079.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage 2 JES-2013,NC_022323.1,myoviridae_vequintavirinae_and_relatives
Enterobacteria phage phi92,NC_023693.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage Murica,NC_041871.1,myoviridae_vequintavirinae_and_relatives
Escherichia phage GottfriedDienst,MZ501071,siphoviridae_queuovirinae_seuratvirus
Escherichia phage KurtStettler,MZ501091,siphoviridae_queuovirinae_seuratvirus
Escherichia phage WildeMaa,MZ501112,siphoviridae_queuovirinae_seuratvirus
Escherichia phage SeppeHuegi,MZ501104,siphoviridae_queuovirinae_seuratvirus
Escherichia phage VogelGryff,MZ501110,siphoviridae_queuovirinae_seuratvirus
Escherichia phage Seurat,KM236243.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage CAjan,KP064094.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage Greed,KX534337.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage slur01,LN881725.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage SLUR76,LR025195.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage SLUR63,LR025196.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage SLUR75,LR025197.1,siphoviridae_queuovirinae_seuratvirus
Aeromonas phage SD04,MH230177.1,siphoviridae_queuovirinae_seuratvirus
Escherichia phage Skure,MK672798.1,siphoviridae_queuovirinae_seuratvirus
